LANGUAGE,REFERENCE GROUP,REFERENCE ASSOCIATION,REFERENCE WORD,TARGET GROUP,TARGET WORD,COSINE SIMILARITY
es,nouns,masculine,bol,determiners,la,0.15786746
es,nouns,masculine,puño,determiners,la,0.052199576
es,nouns,masculine,botón,determiners,la,0.07997445
es,nouns,masculine,sofá,determiners,la,0.14086646
es,nouns,masculine,colchón,determiners,la,0.18541592
es,nouns,masculine,balancín,determiners,la,0.038381327
es,nouns,masculine,collar,determiners,la,0.14807607
es,nouns,masculine,melón,determiners,la,-0.012394364
es,nouns,masculine,plano,determiners,la,0.11067369
es,nouns,masculine,pecho,determiners,la,0.08976985
es,nouns,masculine,techo,determiners,la,0.20416602
es,nouns,masculine,granero,determiners,la,0.066972464
es,nouns,masculine,maní,determiners,la,0.09596093
es,nouns,masculine,puente,determiners,la,0.12072333
es,adjectives,masculine,individuo,genders,hombre,0.4614888
es,adjectives,masculine,humano,genders,hombre,0.3915065
es,adjectives,masculine,chico,genders,hombre,0.04056615
es,adjectives,masculine,anciano,genders,hombre,0.14609455
es,adjectives,masculine,joven,genders,hombre,0.3589433
es,adjectives,masculine,sabio,genders,hombre,0.113252446
es,adjectives,masculine,jovencito,genders,hombre,0.09050221
es,adjectives,masculine,animal,genders,hombre,0.3189671
es,adjectives,masculine,creyente,genders,hombre,0.07364635
es,adjectives,masculine,campesino,genders,hombre,0.24713291
es,adjectives,masculine,adinerado,genders,hombre,0.08873457
es,adjectives,masculine,fornido,genders,hombre,0.075164795
es,adjectives,masculine,trabajador,genders,hombre,0.13798033
es,adjectives,masculine,sujeto,genders,hombre,0.09040454
es,adjectives,masculine,desgraciado,genders,hombre,0.098531954
es,adjectives,masculine,vagabundo,genders,hombre,0.06760979
es,adjectives,masculine,guapo,genders,hombre,0.06657523
es,adjectives,masculine,cristiano,genders,hombre,0.33136603
es,adjectives,masculine,desdichado,genders,hombre,0.08925117
es,adjectives,masculine,pecador,genders,hombre,0.020618202
es,adjectives,masculine,soñador,genders,hombre,0.020618202
es,adjectives,masculine,procreador,genders,hombre,0.114712775
es,adjectives,masculine,barbudo,genders,hombre,0.06760979
es,adjectives,masculine,corpulento,genders,hombre,0.07561604
es,adjectives,masculine,viejo,genders,hombre,0.35801515
es,adjectives,masculine,amante,genders,hombre,0.3002796
es,adjectives,masculine,perro,genders,hombre,0.045328055
es,adjectives,masculine,cazador,genders,hombre,0.13798033
es,adjectives,masculine,pescador,genders,hombre,0.13798033
es,adjectives,masculine,soltero,genders,hombre,0.11773068
es,adjectives,masculine,seductor,genders,hombre,0.05697602
es,adjectives,masculine,señor,genders,hombre,0.29780278
es,adjectives,masculine,delincuente,genders,hombre,0.079936475
es,adjectives,masculine,afortunado,genders,hombre,0.082907416
es,adjectives,masculine,guerrero,genders,hombre,0.045328055
es,adjectives,masculine,camionero,genders,hombre,0.024671398
es,adjectives,masculine,polifacético,genders,hombre,0.10609276
es,adjectives,masculine,vaquero,genders,hombre,0.06760979
es,adjectives,masculine,necio,genders,hombre,0.13219464
es,adjectives,masculine,asesino,genders,hombre,0.24713291
es,adjectives,masculine,visionario,genders,hombre,0.14722726
es,adjectives,masculine,piadoso,genders,hombre,0.06760979
es,adjectives,masculine,maduro,genders,hombre,0.06760979
es,adjectives,masculine,acaudalado,genders,hombre,0.082907416
es,adjectives,masculine,metrosexual,genders,hombre,0.047984686
es,adjectives,masculine,viviente,genders,hombre,0.061022155
es,adjectives,masculine,macho,genders,hombre,0.33900845
es,adjectives,masculine,mono,genders,hombre,0.15046261
es,adjectives,masculine,poderoso,genders,hombre,0.23140272
es,adjectives,masculine,encarnado,genders,hombre,0.12170229
es,adjectives,masculine,honrado,genders,hombre,0.095589
es,adjectives,masculine,galán,genders,hombre,0.1530368
es,adjectives,masculine,pensador,genders,hombre,0.13798033
es,adjectives,masculine,primitivo,genders,hombre,0.09618697
es,adjectives,masculine,hombruno,genders,hombre,0.06760979
es,adjectives,masculine,octogenario,genders,hombre,0.13662814
es,adjectives,masculine,masculino,genders,hombre,0.26749316
es,adjectives,masculine,rudo,genders,hombre,0.09040454
es,adjectives,masculine,depravado,genders,hombre,0.075164795
es,adjectives,masculine,buenmozo,genders,hombre,0.03903528
es,adjectives,masculine,caballeroso,genders,hombre,0.07604092
es,adjectives,masculine,astuto,genders,hombre,0.067171276
es,adjectives,masculine,ateo,genders,hombre,0.1264061
es,adjectives,masculine,forzudo,genders,hombre,0.075164795
es,adjectives,masculine,embarazado,genders,hombre,0.093340166
es,adjectives,masculine,viajador,genders,hombre,0.020618202
es,adjectives,masculine,ciudadano,genders,hombre,0.14332744
es,adjectives,masculine,infeliz,genders,hombre,0.0053730877
es,adjectives,masculine,mujeriego,genders,hombre,0.13953623
